pageid,title,wikidata,label
4282944,Manasseh Sogavare,Q536063,Manasseh Sogavare
5029352,Patteson Oti,Q7148496,Patteson Oti
10375180,Jeremiah Manele,Q6180897,Jeremiah Manele
20098266,Manasseh Maelanga,Q6747030,Manasseh Maelanga
20098306,Samuel Manetoali,Q7412100,Samuel Manetoali
20098542,Stanley Festus Sofu,Q7599597,Stanley Festus Sofu
28872229,David Vunagi,Q5240675,David Vunagi
30385926,Braddley Tovosia,Q4954443,Braddley Tovosia
30386400,Peter Shannel Agovaka,Q7176876,Peter Shannel Agovaka
31407636,Christopher Laore,Q5112700,Christopher Laore
38172057,Dickson Mua,Q2791876,Dickson Mua
55689116,Bartholomew Parapolo,Q42543823,Bartholomew Parapolo
55689784,Nestor Ghiro,Q42547286,Nestor Ghiro
55692136,Freda Soria Comua,Q42559064,Freda Soria Comua
57317450,Anthony Veke,Q52577576,Anthony Veke
66235983,Lanelle Tanangada,Q59125182,Lanelle Tanangada
